Time course #	timecourse1									timecourse2									timecourse3								
YORF	0	5	10	15	20	30	40	50	60	0	5	10	15	20	30	40	50	60	0	5	10	15	20	30	40	50	60
YAL026C	1	0.703032081				0.713088191	0.332218187	0.215325453	0.226495139	1	1.160239943		0.800429652	1.129715168	0.645523212	0.344193096	0.635076117										
YDR148C										1	0.830889211	0.577927597	0.812495349	0.591392693	0.564739609	0.4504482	0.494973161	0.374798968	1	0.968435426		0.551960631	0.430054341	0.483829067	0.398754	0.223900401	0.246679854
YIL125W	1	1.1766388	0.823169806	0.556528074		0.71267772	0.427961912	0.320204112	0.276577798	1	0.978603055	0.574234486	0.655817962	0.685354133	0.705738491	0.403535875	0.480144445		1	0.830889211	0.577927597	0.812495349	0.591392693	0.564739609	0.4504482	0.494973161	0.374798968
YLR240W										1	0.952929801	0.979575115	0.70035626		0.922672406	0.487093574			1	0.930606279		0.637943402		0.610045544	0.340337965	0.260624719	
YCL009C	1	0.626750438	0.447429995	0.486972401			0.418719414	0.183461871	0.233646393	1		0.738228056	0.709373248	0.961339802	0.889658366	0.433819302	0.433819302		1	1.152874904		0.913362509	0.7511495	0.895630863	0.62664741	0.48751	0.40125
YMR108W	1	0.748647153	0.69063903	0.552424791		0.513108472	0.390072577	0.402922871	0.158191905	1	0.84637748	0.532550415	0.638390909	0.714314005		0.413090592	0.509960156		1	0.904075451	0.701664382	0.714649167	0.59698894	0.467671459	0.298199971	0.256532102	0.281372664
YNR044W										1	0.763998673	0.572982401	0.424647695	0.40125	0.650357645	0.444799404	0.623813364	0.32145	1	0.680796267		0.62654		0.385338579	0.269532812	0.24915027	0.178541
YGL032C	1				0.795404106	0.474980613	0.625375536		0.016104796										1	0.8382092	0.81749205	0.729298443	0.63940312	0.542782306	0.358019353	0.171954792	
YMR261C	1		0.656112261	0.712989125		0.724845283	0.431831242			1	1.08536718	1.193597174	0.73413723		0.94513145	0.786588546	0.884853315	0.948629448	1	1.06814261	0.797237832	0.92191586	0.8598058	0.821146468	0.638368963	0.453735516	0.638368963
YBR126C	1		1.162607276		0.986563929	0.696035005	0.500221369		0.230147429	1						0.984238894	0.958960835	1.087980467	1	1.086637024	1.089857323		1.124215057		0.786501978	0.683556674	0.31688094
YDR074W	1		1.128099489	1.201043555	1.079345745	0.715795822	0.578502472	0.461964603	0.396040363	1							1.200023044		1		1.185280803				1.094928923	1.157664377	
YML100W	1									1		0.819334524	0.95270174	0.712772038	0.688287125	1.041779436	1.021114759	0.85241	1	0.840905049		0.688562874		0.688595	0.572154	0.5326487	
YPL074W	1	0.75222302	0.710818146	0.783052371	0.814968916		0.612621888	0.442902877	0.258528597										1	0.774965456	0.384439091	0.51732489	0.320908643	0.304706537	0.280495543	0.124608365	
YLR102C	1		0.396376685	0.469641686			0.65919698	0.251633638	0.134666005										1	0.43766683		0.268304889			0.29572287		0.600197142
YNL172W	1		0.218338921	0.431204716		0.183420641	0.177740814			1	0.468044968								1	0.561602736	0.48527475	0.225887912		0.271907113	0.129619712		
YDR118W										1	0.589829628	0.523631362	0.354404387		0.649501888	0.522817278	0.578596994	0.627110483	1			0.730157277	0.355696976	0.403663564	0.276160148	0.383662532	
YDL008W	1	0.857951333				1.090210516	0.873140059		0.755807368										1	0.830871132		0.559685476		0.308591041	0.454682212	0.445571501	
YLR127C										1	0.600343689	0.504084718		0.412591063					1	0.601585326		0.234664396					
YBL084C	1	0.656513204	0.943178059	0.653717277	0.611332459		0.377132867		0.250769876	1	0.727480947		0.436903233		0.38447006	0.457977697	0.655480783		1	0.700386055			0.594787902	0.272343357		0.27079713	0.278571315
YHR166C	1		0.47736006	0.489220208		0.397294701	0.386353632		0.060885905	1	0.517319222			0.710592785													
YOR249C	1	0.809871071	0.828845442	1.095425137	0.609873775	0.058322394	0.229539964		0.198829455	1		0.547626383	0.554797807						1	0.611148838		0.484367154	0.405841365	0.459090415	0.165726445	0.030058098	
